a_AssetID,Phase,i_Identifier,a_Title_Series,a_Title_Episode,a_Date,a_DateType,a_Description,i_Transfer Date,Transfer_Deck,i_TransferNotes,i_FormatPhysical,i_FormatMediaType,i_FormatGeneration,i_ChannelConfiguation,i_Speed,i_Duration,i_Location,i_Box,a_DigitalStorageLocation,a_DigitalStorageLocation copy,Size of AIP (in gb),QC & Caption Notes,a_Description_Type,QC Pass Date,i_Stock,i_Brand,i_CreatorID,i_Date,i_DateType,a_AssetType,i_ConditionNotes,a_Contributers,ia upload,youtube,not in filemaker,cannot be digitized,Rights,CaptionFile,Base,Institution,Collections,Collections 2,formula,Digitized,PsC - Original Tape ID,PsC - Original Label (if different),PsC - Original Date,PsC - Additional Notes on Metadata,On Hold Notes,Transfer Technician,a_Title_Spanish,a_Episode_Number,PcS - CUNY-TV Asset ID on Cassette,Extent
,On Hold/Needs Review,,City Club of New York Friday Forum,,1996-12-10,created,,,,,3/4 inch videotape: U-matic SP,Moving Image,,,,,,CCLB000013,,1,,,,,KSP-60,Sony,,1996-12-09,created,Episode,,,,,,,,,,City Club,,,recQsftPmLq4nnKwK,,,,,,"This record seems to have been accidentally added, or some fields erased. Please confirm a tape with this date exists in the box and does not have another record. ",,,,,1
,On Hold/Needs Review,UMA00912,City Club of New York Friday Forum,The Year in Review with Ken Auletta,2001-12-14,,,,,,3/4 inch videotape: U-matic SP,,,,,,,UMAB000058,,1,,"This was digitized in August 2021, but the saturation is very bad and there are a number of dropped frames. It should be retransferred and I deleted the digitized files, but it was in a box that has already been returned to Iron Mountain, so we'd need to recall the box to retransfer it. ",,,,,,2001-12-13,,,,,,,,,,,,City Club,,,rechAAWj0QeGXD4zw,,,,,,"This tape should be retransferred, but it is at Iron Mountain. I'm also not sure what happened to the Asset ID. ",,,,,1
BARU0180,Completed for Project,BARU0180,Baruch College Special,It Don't Come Easy: Alternative Paths to Minimizing Workplace Gender Bias,2013-04-22,Created,"Baruch College School of Public Affairs presents the Lillie and Nathan Ackerman Lecture Series on Equality and Justice in America. In ""It Don't Come Easy: Alternative Paths to Minimizing Workplace Gender Bias,"" sociologist William T. Bielby (University of Illinois, University of Arizona), known for his role as an expert witness in gender bias lawsuits against Walmart and Home Depot stores, advocates for more measurable accountability in corporate hiring practices. His analysis questions the effectiveness of diversity training programs and equal employment opportunity offices that have become standard in large corporations and institutions. 

Opening remarks are giving by Michael Wallerstein (President, Baruch College), Ryan Alan Smith (Ackerman Visiting Lecture Chair, Baruch College), and Marianne Engleman-Lado (Granddaughter of Lillie & Nathan Ackerman; Staff Attorney, Earth Justice). 
Recorded on April 22, 2013 at Baruch College. 

This program was digitized, captioned, and made accessible in 2021 as part of ""Uncovering CUNY'S Audiovisual Heritage,"" a preservation project funded by Council on Library and Information Resources (CLIR). ",,,transferred prior to project,,Moving Image,Moving image/Master,,,,,,A/B00163,0,,,Episode,,,,,2013-04-21,Created,,,,checked,checked,,,,BARU0180.vtt (https://dl.airtable.com/.attachments/11dac18bb92a3bf204df10ceab66d076/024fa9a8/BARU0180.vtt),,Baruch College Special,,,recSzTLBOjhclAzoL,,,,,,,,,,,1
BCC00001,Completed for Project,BCC00001,The Hall of Fame for Great Americans,Jane Addams Installations into the Hall of Fame for Great Americans (Tape 1 of 4) ,,,,2022-04-22,OTARI MX-55,"Audio levels are set to program. Mono. A restoration copy of the original was created, normalizing the audio to 27 DBFS. ","1/4"" Audiotape",,,Mono (1 Track),7 1/2,32:44,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,1.5,"This was captured at a 32-bit rate. Mic issues in the recording cause brief instances of clipping between the 23 and 25-minute mark. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
. ",,4/27/2022,No. 31A12,Kodak,,,,,Made from Durol Base (New High Strength Triacetate). Appears to be showing signs of vinegar syndrome.,,,,,,,,Acetate,Hall of Fame for Great Americans,,,rec20e14QjwzHw5Zi,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00002,Completed for Project,BCC00002,The Hall of Fame for Great Americans,Jane Addams Installations into the Hall of Fame for Great Americans (Tape 2 of 4) ,,,,2022-04-22,OTARI MX-55,"Mono. Audio levels set to program. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -30 DFBS - Kelly Haydon, 2022","1/4"" Audiotape",,,Mono (1 Track),7 1/2,34:32,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,1.6,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022
",,4/27/2022,No. 31A12,Kodak,,,,,Made from Durol Base (New High Strength Triacetate). Appears to be showing signs of vinegar syndrome.,,,,,,,,,Hall of Fame for Great Americans,,,recFtUBGDjF4W62ll,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00003,Completed for Project,BCC00003,The Hall of Fame for Great Americans,Jane Addams Installations into the Hall of Fame for Great Americans (Tape 3 of 4) ,,,,2022-04-29,OTARI MX-55,"Mono. Audio levels set to program. This tape was placed together in some parts by a band-aid which caused some parts to be sticky and have missing parts of the base. Because of the bad splicing done, some parts of the tape are backwards sounding and then go forwards again. Tape is really brittle. Had to transfer this tape in sections while it was recording in Audition. When the tape broke, it was re-spliced during the recording. Will need to be digitally restored. ","1/4"" Audiotape",,,Mono (1 Track),7 1/2,18:18,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,1.8,This was captured at a 32-bit rate. Notes: A restoration copy was created where the backward-spliced portions of This was captured at a 32-bit rate. The restored copy was corrected from original. Long quiet segments of the tape were also cut from the file for a better listening experience. The integrated loudness was adjusted to -25 LUFs. Both the original and the restored copy are in the archival ingest package (AIP). ,,6/3/2022,No. 31A12,Kodak,,,,,Made from Durol Base (New High Strength Triacetate). Appears to be showing signs of vinegar syndrome.,,,,,,,,,Hall of Fame for Great Americans,,,recWNfU2rfrQ6tAdr,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00004,Completed for Project,BCC00004,The Hall of Fame for Great Americans,Jane Addams Installations into the Hall of Fame for Great Americans (Tape 4 of 4) ,,,,2022-04-25,OTARI MX-55,"Mono. Levels set to program.  Curling of the tape was observed. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -30 DFBS - Kelly Haydon, 2022","1/4"" Audiotape",,,Mono (1 Track),7 1/2,42:32,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,1.0,"This was captured at a 32-bit rate. Notes: A ""restoration"" version of the file was created to normalize the integrated loudness to -23 LUFS (EBU R 128 target specification) - Kelly Haydon, 2022

",,4/27/2022,No. 31A12,Kodak,,,,,Made from Durol Base (New High Strength Triacetate). Appears to be showing signs of vinegar syndrome.,,,,,,,,,Hall of Fame for Great Americans,,,rechtRVWJ1hm00f3H,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00005,Completed for Project,BCC00005,The Hall of Fame for Great Americans,Three Glimpses of Albert Michelson at the Peak of his Career,,,,,,"Not transferred. A duplicate of this film is found in the Alfred A. Michaelson collection at the United States Naval Academy. It may have been restored and available on DVD. 

https://www.usna.edu/Library/sca/man-findingaids/view.php?f=MS_347#Series+10%3A+AUDIO-VISUAL+MATERIALS%2C+1917-1973+%28approximate%29+Boxes+OS+8-9%2C+OS+14",16mm film,,,Color with Sound,,8:00,"Bronx Community College, Archives and Special Collections",3,,1,,,,,# X-4,Kodak ,,,,,Acetate film. Appears to be showing signs of vinegar syndrome.,,,,,checked,Includes newsreel footage under a licensing agreement. Only non-theatrical exhibitions and excludes broadcasting on television. Prohibits resale other than as part of the complete film. ,,,Hall of Fame for Great Americans,,,recPWD5x15gnSWuXT,,,,,,,Liza Kastrilevich Kastrilevich,,,,1
BCC00006,Completed for Project,BCC00006,The Hall of Fame for Great Americans,C-SPAN School Bus: The Hall of Fame for Great Americans,1999-11-11,,,,,"Not transferred. There is a digital version of this tape already on the C-Span Archives website: https://www.c-span.org/video/?153526-1/hall-fame-great-americans
",VHS,,,,,,"Bronx Community College, Archives and Special Collections",3,,1,,,,,T-120,Maxwell,,1999-11-10,,,,,,,,checked,C-SPAN: https://www.c-span.org/about/copyrightsAndLicensing/,,,Hall of Fame for Great Americans,,,rechhtS1CLGilGn0v,,,,,,,,,,,1
BCC00007,Completed for Project,BCC00007,The Hall of Fame for Great Americans,Just Down the Road with Dave Povero: NYS Halls of Fame #4,2003-02-26,,"This is an episode of the ""Just Down the Road Program,"" a public television series that aired on WMHT. The episode is the fourth part of a four-part series covering Halls of Fames found in New York State and includes the Hall of Fame for Great Americans at Bronx Community College. Others are the National Soccer Museum, Hall of Fame Catskill Fly Fishing Center & Museum, and Hall of Fame Harness Racing Museum. Dave Povero is the host. The original air date is 2/26/2003. ",2022-03-16,VHS SVO-5800 (TBC 1),Bars and tone set to program. ,VHS,Moving Image,Moving image/Air master,Stereo,,28:21,"Bronx Community College, Archives and Special Collections",3,CLIR Ingest Drive,0,25.0,,,3/21/2022,T-30,HG,,2003-02-25,,,,,,,,,,,,Hall of Fame for Great Americans,,,recgrKtTGj9q1qePg,1,,,,,,Liza Kastrilevich Kastrilevich,,,,1
